done,Bug Report ID,Coder,Reviewer,URL,TraceReplayer Sequence Step,OB ID,OB XML ID,OB,Sequence Step,Screenshot Path,(No Aug) Screenshot Path,Command SS,Command SS (NA),Bug type (from taxonomy),Bug type checking (ok/not),Bug type (final),OB category (Easy/Hard),OB category checking (ok/not),OB category (final),OB rating (1-5),OB Rating check,OB Rating (Final),Screen (Old),Screens (Causing),Components (causing) (old),Components (Causing),Screens (Manifesting),Components (Manisfesting),Ground-truth check,Comments,Comment (Antu),Screens (Causing) Final,Components (Causing) Final,Screens (Manifesting) Final,Components (Manifesting) Final,Discourse patterns,Comment (discourse pattern),Discussion
,,,,,,,,,,,,,,,,,,,,,,,d39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,,,,,,,,,,,,
x,8,,Yang,https://github.com/koelleChristian/trickytripper/issues/42,14,0,0,NPE on create payment,14,../burt/data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper14_augmented.png,../burt/data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper14.png,open ../burt/data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper14_augmented.png,open ../burt/data/TraceReplayer-Data/TR8/de.koelle.christian.trickytripper-1.6.0/screenshots/de.koelle.christian.trickytripper.User-Trace.1.de.koelle.christian.trickytripper_1.6.0_trickytripper14.png,App crashes,,App crashes,Easy,,Easy,2,3,2,a77eeb613bdff27be2615cea0223f0b093401c8f89baa1926d68c72f9408aa83,,0,,,,,,The previous coding is correct.,a77eeb613bdff27be2615cea0223f0b093401c8f89baa1926d68c72f9408aa83,0,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,S_OB_PROBLEM_IN,,
,,,,,,,,,,,,,,,,,,,,,,,2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0,,,,,,,,,,,,,,,
x,10,,Yang,https://github.com/zhanghai/MaterialFiles/issues/184,15,0,0,FTP server restarted if app is killed after stopping it,15,../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15_augmented.png,../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15.png,open ../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15_augmented.png,open ../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15.png,Undesirable  behavior ,,Undesirable  behavior ,Hard,,Hard,4,3,4,7741f075569d85672942edec3bd3f951f2d3ecbf52164fa9c1295fc3f4afaf1c,,38,38,,,"it is not related, should remove",,"Components (Manifesting): 2,3,4 is correct as 1 is not manifesting the OB.
Otherwise, the previous coding is correct.",7741f075569d85672942edec3bd3f951f2d3ecbf52164fa9c1295fc3f4afaf1c,38,a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013,"2,3,4",S_OB_NEG_COND,,fixed
,,,,,,,,,,,,,,,,,,,,,,,a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013,,,,,"2,4","1,2,3,4",,,0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b,43,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b,,43,43,,,"it is not related, should remove",,,6a889d592a3ca20abe3a51505cc6ad317185584199aa3ad063cb412930c7743e,66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6a889d592a3ca20abe3a51505cc6ad317185584199aa3ad063cb412930c7743e,,66,66,,,"it is not related, should remove",,,9a8d7e9c37c38e47c6aba6fba3afb88ae73509263f7a75fb4c2e178d609c6a77,67,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9a8d7e9c37c38e47c6aba6fba3afb88ae73509263f7a75fb4c2e178d609c6a77,,67,67,,,"it is not related, should remove",,,194df85208e4efc3369e1cbffc83cfae9cb5db809635af3804491e5966f2126a,42,,,,,
,,,,,,,,,,,,,,,,,,,,,,,194df85208e4efc3369e1cbffc83cfae9cb5db809635af3804491e5966f2126a,,42,42,,,"it is not related, should remove",,,a1c1f82a15f7aff43ec0eeb342ae833df2f53218b59c629052a23a80ba0a2500,71,,,,,
,,,,,,,,,,,,,,,,,,,,,,,a1c1f82a15f7aff43ec0eeb342ae833df2f53218b59c629052a23a80ba0a2500,,71,71,,,"it is not related, should remove",,,a40476d2cf98ac6f79d61cc121eacc8258f411b8dbbaf5d205c630fc4ecbf35e,43,,,,,
,,,,,,,,,,,,,,,,,,,,,,,a40476d2cf98ac6f79d61cc121eacc8258f411b8dbbaf5d205c630fc4ecbf35e,,43,43,,,"it is not related, should remove",,,a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c,58,,,,,
,,,,,,,,,,,,,,,,,,,,,,,a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c,,58,58,,,"it is not related, should remove",,,c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be,61,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be,,61,61,,,"it is not related, should remove",,,d00b986cc36b96dd9ef7d8ee8da02ceb92fe900401db210022371a98552f0eff,40,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d00b986cc36b96dd9ef7d8ee8da02ceb92fe900401db210022371a98552f0eff,,40,40,,,"it is not related, should remove",,,dc40c348ec52a32d76d70561225ee4f35c6a7fbc2abb3d2db9a2a6228eba5654,69,,,,,
,,,,,,,,,,,,,,,,,,,,,,,dc40c348ec52a32d76d70561225ee4f35c6a7fbc2abb3d2db9a2a6228eba5654,,69,69,,,"it is not related, should remove",,,,,,,,,
x,10,,Yang,https://github.com/zhanghai/MaterialFiles/issues/184,15,1,3.2,Server restarts by its own.,15,../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15_augmented.png,../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15.png,open ../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15_augmented.png,open ../burt/data/TraceReplayer-Data/TR10/me.zhanghai.android.files-1.0.0-beta.11/screenshots/me.zhanghai.android.files.User-Trace.1.me.zhanghai.android.files_1.0.0-beta.11_files15.png,Undesirable  behavior ,,Undesirable  behavior ,Hard,,Hard,2,ok,2,7741f075569d85672942edec3bd3f951f2d3ecbf52164fa9c1295fc3f4afaf1c,,38,38,,,,,,7741f075569d85672942edec3bd3f951f2d3ecbf52164fa9c1295fc3f4afaf1c,38,a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013,"2,3,4",S_OB_NEG_VERB,,
,,,,,,,,,,,,,,,,,,,,,,,a0ae2c21a12bc864024f18b7af900668f54e251f7fd5fc6e49da5bf1f8c6a013,,,,,"2,4","1,2,3,4",,,0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b,43,,,,,
,,,,,,,,,,,,,,,,,,,,,,,0f07de9a0c5c5718fc51f783fc6f8aed3f8a87dcc3a8f8f2e437d48cadef943b,,43,43,,,"it is not related, should remove",,,6a889d592a3ca20abe3a51505cc6ad317185584199aa3ad063cb412930c7743e,66,,,,,
,,,,,,,,,,,,,,,,,,,,,,,6a889d592a3ca20abe3a51505cc6ad317185584199aa3ad063cb412930c7743e,,66,66,,,"it is not related, should remove",,,9a8d7e9c37c38e47c6aba6fba3afb88ae73509263f7a75fb4c2e178d609c6a77,67,,,,,
,,,,,,,,,,,,,,,,,,,,,,,9a8d7e9c37c38e47c6aba6fba3afb88ae73509263f7a75fb4c2e178d609c6a77,,67,67,,,"it is not related, should remove",,,194df85208e4efc3369e1cbffc83cfae9cb5db809635af3804491e5966f2126a,42,,,,,
,,,,,,,,,,,,,,,,,,,,,,,194df85208e4efc3369e1cbffc83cfae9cb5db809635af3804491e5966f2126a,,42,42,,,"it is not related, should remove",,,a1c1f82a15f7aff43ec0eeb342ae833df2f53218b59c629052a23a80ba0a2500,71,,,,,
,,,,,,,,,,,,,,,,,,,,,,,a1c1f82a15f7aff43ec0eeb342ae833df2f53218b59c629052a23a80ba0a2500,,71,71,,,"it is not related, should remove",,,a40476d2cf98ac6f79d61cc121eacc8258f411b8dbbaf5d205c630fc4ecbf35e,43,,,,,
,,,,,,,,,,,,,,,,,,,,,,,a40476d2cf98ac6f79d61cc121eacc8258f411b8dbbaf5d205c630fc4ecbf35e,,43,43,,,"it is not related, should remove",,,a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c,58,,,,,
,,,,,,,,,,,,,,,,,,,,,,,a92536da6b0e0ed03539ad451ca79e6d7b9441f0d499de77515f2e9da10b618c,,58,58,,,"it is not related, should remove",,,c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be,61,,,,,
,,,,,,,,,,,,,,,,,,,,,,,c293fdb0e82c0463154866eea37879c3e3e00311b1e1adf6d76a89121d5997be,,61,61,,,"it is not related, should remove",,,d00b986cc36b96dd9ef7d8ee8da02ceb92fe900401db210022371a98552f0eff,40,,,,,
,,,,,,,,,,,,,,,,,,,,,,,d00b986cc36b96dd9ef7d8ee8da02ceb92fe900401db210022371a98552f0eff,,40,40,,,"it is not related, should remove",,,dc40c348ec52a32d76d70561225ee4f35c6a7fbc2abb3d2db9a2a6228eba5654,69,,,,,
,,,,,,,,,,,,,,,,,,,,,,,dc40c348ec52a32d76d70561225ee4f35c6a7fbc2abb3d2db9a2a6228eba5654,,69,69,,,"it is not related, should remove",,,,,,,,,
x,18,,Yang,https://github.com/citiususc/calendula/issues/134,21,0,0,Can't open the add/remove medicine stock dialog,21,../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21_augmented.png,../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21.png,open ../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21_augmented.png,open ../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21.png,Component is not displayed (correctly),,Component is not displayed (correctly),Easy,,Easy,3,4,3,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,,,,,"should remove this screen, not related ","This one may be a hard case, because one buggy screen is a crash but the OB doesn't say anything about that","Components (Causing): 16,17,20 as they are causing the app to crash

Otherwise, the previous coding is correct.",3f179ad0eb89121830b8b15d60e0708416826f8bd0c3dc573f90192d8928a356,"16,17,20",0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,S_OB_NEG_AUX_VERB,,
,,,,,,,,,,,,,,,,,,,,,,,3f179ad0eb89121830b8b15d60e0708416826f8bd0c3dc573f90192d8928a356,,17,17,,,"16,17",,,,,,,,,
x,18,,Yang,https://github.com/citiususc/calendula/issues/134,21,1,4.2,I get kicked back to the medicine screen.,21,../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21_augmented.png,../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21.png,open ../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21_augmented.png,open ../burt/data/TraceReplayer-Data/TR18/es.usc.citius.servando.calendula-2.5.7/screenshots/es.usc.citius.servando.calendula.User-Trace.1.es.usc.citius.servando.calendula_2.5.7_calendula21.png,,,Component is not displayed (correctly),Hard,,Hard,2,1,2,0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,,,,,"should remove this screen, not related ","This one may be a hard case, because one buggy screen is a crash but the OB doesn't say anything about that",,3f179ad0eb89121830b8b15d60e0708416826f8bd0c3dc573f90192d8928a356,"16,17,20",0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16,,S_OB_SIMPLE_PRESENT,,
,,,,,,,,,,,,,,,,,,,,,,,3f179ad0eb89121830b8b15d60e0708416826f8bd0c3dc573f90192d8928a356,,17,17,,,,,,,,,,,,
x,19,,Yang,https://github.com/streetcomplete/StreetComplete/issues/1093,5,0,0,cursor jumps before housenumber when adding letter,5,../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5_augmented.png,../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5.png,open ../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5_augmented.png,open ../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5.png,Uneditable component,,Uneditable component,Easy,,Easy,4,ok,4,9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926,,2,2,,1,"component 1 is not right, should be removed",same as buggy screen,"Component image is not present in the dataset.
All the component images are incorrect for screen 9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926.",9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926,2,9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926,1,S_OB_POS_COND,,
x,19,,Yang,https://github.com/streetcomplete/StreetComplete/issues/1093,5,1,1.4,"3. the cursor jumps before the number, so when you insert ""a"" you have ""a10"" instead of ""10a""",5,../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5_augmented.png,../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5.png,open ../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5_augmented.png,open ../burt/data/TraceReplayer-Data/TR19/de.westnordost.streetcomplete-5.2/screenshots/de.westnordost.streetcomplete.User-Trace.1.de.westnordost.streetcomplete_5.2_streetcomplete5.png,Undesirable component,,Undesirable component,Easy,,Easy,5,ok,5,9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926,,2,2,,1,"component 1 is not right, should be removed",,,9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926,2,9253f6a470c03c51c0336600f51a86c0b1bbf467076b4fc430d25a83e2ec7926,1,S_OB_POS_COND,,
x,21,,Yang,https://github.com/netmackan/ATimeTracker/issues/121,11,0,0,Long press on a task does not show the task menu.,11,../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11_augmented.png,../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11.png,open ../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11_augmented.png,open ../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11.png,Data is not displayed,,Data is not displayed,Hard,,Hard,5,ok,5,19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8,,,,,,"this is expected screen, should be removed ",non-reproducible,"The first screen is the expected screen, not the manifesting screen. That's why I did not add that one.
The bug is not reproduced. However, we decided to keep the bug because the model can retrieve the relevant screens to the bug.
Otherwise, the previous coding is correct.",0cc11212f12090f8e0923817898aad5530683601ada4f3181f689591f0f54a9c,"3,4",19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8,,S_OB_NEG_AUX_VERB,,
,,,,,,,,,,,,,,,,,,,,,,,0cc11212f12090f8e0923817898aad5530683601ada4f3181f689591f0f54a9c,,"3,4","3,4",,,"those components cannot provide useful information, because that task contains all of them",,,f4e7076bf78336258deda53d8870e7219dbd83b7030c4388cd4e4b33e16c32cf,"3,4,5",,,,,
,,,,,,,,,,,,,,,,,,,,,,,f4e7076bf78336258deda53d8870e7219dbd83b7030c4388cd4e4b33e16c32cf,,"3,4,5","3,4,5",,,"those components cannot provide useful information, because that task contains all of them",,,,,,,,,
x,21,,Yang,https://github.com/netmackan/ATimeTracker/issues/121,11,1,1.4,"However, long-press now results in a pop-up called ""activities menu"" that is empty,",11,../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11_augmented.png,../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11.png,open ../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11_augmented.png,open ../burt/data/TraceReplayer-Data/TR21/com.markuspage.android.atimetracker-0.51.1/screenshots/com.markuspage.android.atimetracker.User-Trace.1.com.markuspage.android.atimetracker_0.51.1_atimetracker11.png,Data is not displayed,,Data is not displayed,Hard,,Hard,5,,5,19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8,,,,,,this screen is EB,non-reproducible,,0cc11212f12090f8e0923817898aad5530683601ada4f3181f689591f0f54a9c,"3,4",19cb4db7aa36b45e8621d64b696ed9a5a92a3ebb486e89bb1d06a9b8c5aa45a8,,S_OB_BUT_NEG,,
,,,,,,,,,,,,,,,,,,,,,,,0cc11212f12090f8e0923817898aad5530683601ada4f3181f689591f0f54a9c,,"3,4","3,4",,,"those components cannot provide useful information, because that task contains all of them",,,f4e7076bf78336258deda53d8870e7219dbd83b7030c4388cd4e4b33e16c32cf,"3,4,5",,,,,
