Bug-ID;OB-ID;OB-Text;Top-3-Screens;Sequence-IDs;Screenshot-Paths
Bug44;0;Tag text removal bug by using checkbox;{'aec859f58ddc136a9ad63c90013704eea60d9dcac911aa24bb1ead06f5e5b90c': 1.3014357, '3b3497a6ee944fd9fa8d6784d850e662a9e18378b3478e03e9b90e6cd000a763': 0.2114771, '1e2c3883b562ec7e47bc3e48e1a41a838d5c0992b7f9f95ff627bbfd672dd173': 0.13264471};[18, 9, 26];['../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes20.png', '../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes8.png', '../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes25.png']
Bug44;1;Tag text removal bug;{'aec859f58ddc136a9ad63c90013704eea60d9dcac911aa24bb1ead06f5e5b90c': 0.83994544, '3b3497a6ee944fd9fa8d6784d850e662a9e18378b3478e03e9b90e6cd000a763': -0.004532218, '1e2c3883b562ec7e47bc3e48e1a41a838d5c0992b7f9f95ff627bbfd672dd173': -0.4039131};[18, 9, 26];['../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes20.png', '../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes8.png', '../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes25.png']
Bug44;2;It seems like it will remove all tags with the same header as the deleted tag.;{'aec859f58ddc136a9ad63c90013704eea60d9dcac911aa24bb1ead06f5e5b90c': 1.3609242, '1e2c3883b562ec7e47bc3e48e1a41a838d5c0992b7f9f95ff627bbfd672dd173': -0.94518936, '3b3497a6ee944fd9fa8d6784d850e662a9e18378b3478e03e9b90e6cd000a763': -1.1819339};[18, 26, 9];['../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes20.png', '../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes25.png', '../data/TraceReplayer-Data/TR44/it.feio.android.omninotes-5.5.2/screenshots/it.feio.android.omninotes.User-Trace.1.it.feio.android.omninotes_5.5.2_omninotes8.png']
Bug53;0;New file dialogue always says Type: Markdown rather than previous type used;{'8f969381112ced60772b597235052c126eff057f2c0b9bb976b0602f9241b887': 3.4068804, 'f96bea99a9d9d2407a2ee17301c93ab4334275cf97231c28c55bd2f47e5d2a08': 3.1870687, '9c531c27402376516cb4a98fe6c2a02202c039d203a9ef1c6ec93395417e1780': 2.6114547};[12, 19, 7];['../data/TraceReplayer-Data/TR53/net.gsantner.markor-2.3.1/screenshots/net.gsantner.markor.User-Trace.1.net.gsantner.markor_2.3.1_markor11.png', '../data/TraceReplayer-Data/TR53/net.gsantner.markor-2.3.1/screenshots/net.gsantner.markor.User-Trace.1.net.gsantner.markor_2.3.1_markor83.png', '../data/TraceReplayer-Data/TR53/net.gsantner.markor-2.3.1/screenshots/net.gsantner.markor.User-Trace.1.net.gsantner.markor_2.3.1_markor6.png']
Bug53;1;This appears to be a cosmetic issue only - the second new file is named something.todo.txt, so the app is correctly remembering the user's last settings, but nonetheless it looks odd and confusing to the user.;{'40632dfced0e880b2b6fdaa04ed6a1b08e78ecbfa5e76bfe2a93c4a4727eea2e': 4.0963483, '2a2b2fe25ee74a4be63b08b87e9a414fdb13bb8e33979a0709cbcec59d44240f': 3.6719913, 'c38fc0571ee406f27d4986dc2111f06c14d5a93fdca606ea9b8bdcb29171892a': 3.6114404};[79, 73, 62];['../data/TraceReplayer-Data/TR53/net.gsantner.markor-2.3.1/screenshots/net.gsantner.markor.User-Trace.1.net.gsantner.markor_2.3.1_markor78.png', '../data/TraceReplayer-Data/TR53/net.gsantner.markor-2.3.1/screenshots/net.gsantner.markor.User-Trace.1.net.gsantner.markor_2.3.1_markor72.png', '../data/TraceReplayer-Data/TR53/net.gsantner.markor-2.3.1/screenshots/net.gsantner.markor.User-Trace.1.net.gsantner.markor_2.3.1_markor61.png']
Bug117;0;Space increase on refresh in Nutrition Facts tab;{'5190822dc529fe5d177c3c2c1a8524e6ed7e98726d6c18ecc2c4c522c99f323e': 2.8338647, '0c3ff76dd00f39e87d780c124a88f78049b3e5ea87a143b735ad992d55dcaba9': 2.82747, '9959a0f107f3ef8c92053db8273d3492c83db6598ba625824c9329fb1dc5b842': 2.599161};[11, 13, 15];['../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts16.png', '../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts12.png', '../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts15.png']
Bug117;1;The space between each row of nutritional value in Nutrition Facts tab increases on refreshing the data.;{'5190822dc529fe5d177c3c2c1a8524e6ed7e98726d6c18ecc2c4c522c99f323e': 3.0557904, '0c3ff76dd00f39e87d780c124a88f78049b3e5ea87a143b735ad992d55dcaba9': 3.055057, '9959a0f107f3ef8c92053db8273d3492c83db6598ba625824c9329fb1dc5b842': 2.7551198};[11, 13, 15];['../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts16.png', '../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts12.png', '../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts15.png']
Bug117;2;Refreshing also changes the space between each row of nutritional value.;{'5190822dc529fe5d177c3c2c1a8524e6ed7e98726d6c18ecc2c4c522c99f323e': -0.24866825, '0c3ff76dd00f39e87d780c124a88f78049b3e5ea87a143b735ad992d55dcaba9': -0.2661546, '9959a0f107f3ef8c92053db8273d3492c83db6598ba625824c9329fb1dc5b842': -0.5174321};[11, 13, 15];['../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts16.png', '../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts12.png', '../data/TraceReplayer-Data/TR117/openfoodfacts.github.scrachx.openfood-2.9.8/screenshots/openfoodfacts.github.scrachx.openfood.User-Trace.1.openfoodfacts.github.scrachx.openfood_2.9.8_openfoodfacts15.png']
Bug128;0;Switching language is not working.;{'843d4ad6023e113ee2c0e4b80cb26c779569a0e2d7f98e6c7c13a8af8f42248e': 0.64777476, '82f804e6a205bbc8056259b1453cb2bc402540c50c25c53af41b81c6e3597ad8': -0.05708614, 'b376fc15b36b98f9484cc0088749fb61868692968eb787cd3c95d4f161d29c1d': -0.3591631};[28, 47, 43];['../data/TraceReplayer-Data/TR128/org.shadowice.flocke.andotp.dev-0.7.1.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.1.1-dev_andotp27.png', '../data/TraceReplayer-Data/TR128/org.shadowice.flocke.andotp.dev-0.7.1.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.1.1-dev_andotp46.png', '../data/TraceReplayer-Data/TR128/org.shadowice.flocke.andotp.dev-0.7.1.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.1.1-dev_andotp38.png']
Bug128;1;The app is falling back to english;{'843d4ad6023e113ee2c0e4b80cb26c779569a0e2d7f98e6c7c13a8af8f42248e': 0.74687195, '1b2e638160906b56dd59d3dacd273b6b7ebc7aa0d30d47a634c994bbc58d3a8a': 0.37398702, 'a134e4a35c495b33328b48596678804d914a37034e19af3501827a697bf0ca25': 0.020127922};[28, 31, 60];['../data/TraceReplayer-Data/TR128/org.shadowice.flocke.andotp.dev-0.7.1.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.1.1-dev_andotp27.png', '../data/TraceReplayer-Data/TR128/org.shadowice.flocke.andotp.dev-0.7.1.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.1.1-dev_andotp30.png', '../data/TraceReplayer-Data/TR128/org.shadowice.flocke.andotp.dev-0.7.1.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.1.1-dev_andotp59.png']
Bug129;0;App crashes if incorrect secret is entered;{'880dd477e9f36942e3f0b5cd86b8a9690b014aaabf72b5d0791759d0422ba6ea': 1.9760182, '8a6b7b5a5c844618e99480602ed9fd5834452497d3adde79235c6e89bbc1558e': 1.6057806, '8985d0dd07bd2e6c31bb5b7b946d61b381954d34aa60a67c7e916a3f13f4c07d': 0.8350849};[47, 46, 83];['../data/TraceReplayer-Data/TR129/org.shadowice.flocke.andotp.dev-0.7.0-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.0-dev_andotp49.png', '../data/TraceReplayer-Data/TR129/org.shadowice.flocke.andotp.dev-0.7.0-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.0-dev_andotp51.png', '../data/TraceReplayer-Data/TR129/org.shadowice.flocke.andotp.dev-0.7.0-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.0-dev_andotp82.png']
Bug129;1;App crashes.;{'13f900fd6fafd93838196fd1d853c27632a626eabdf837dd0e870ad2c2f5266a': -0.8395805, '17a5c727578fd4026221d0087a4ffe5383cd352fb17b5f6901614dbd70882ed7': -0.85387653, 'd82887d972e8a0ae941ccefb7e73afd7a8972cd330a355d822cdabb60351fdfa': -0.87292176};[34, 17, 55];['../data/TraceReplayer-Data/TR129/org.shadowice.flocke.andotp.dev-0.7.0-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.0-dev_andotp34.png', '../data/TraceReplayer-Data/TR129/org.shadowice.flocke.andotp.dev-0.7.0-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.0-dev_andotp16.png', '../data/TraceReplayer-Data/TR129/org.shadowice.flocke.andotp.dev-0.7.0-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.7.0-dev_andotp54.png']
Bug130;0;"Onboarding issues: Third ""Let's get started"" slide show the wrong encryption method";{'226b61ee05b607ffde5f28301b86b4af98bf571ce8a501fd7903adc482ac8b2b': 2.30496, '67a86e837e1c9e006a6de042f4663bca08c40f4bd33dfcb194af0e57a283a3b0': 0.8844906, '5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf': 0.09646492};[1, 2, 4];['../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp0.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp1.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp4.png']
Bug130;1;Since you have chosen Android KeyStore as encryption method this is optional.;{'5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b': 4.977687, '5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf': 4.961789, '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7': 4.796703};[3, 4, 15];['../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp13.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp4.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp15.png']
Bug130;2;"The dropdown on the third slide has ""None"" and ""Device credentials"" greyed out, so I guess the text is just a UI bug.";{'67a86e837e1c9e006a6de042f4663bca08c40f4bd33dfcb194af0e57a283a3b0': 0.83366925, 'b376fc15b36b98f9484cc0088749fb61868692968eb787cd3c95d4f161d29c1d': 0.3717475, '35e4eb73a3ca02358d3b8bb06ef5b47ab845bd8e09dc224de865a9bdc4a1a5e6': 0.26997536};[2, 40, 52];['../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp1.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp39.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp61.png']
Bug130;3;"I went back to the second slide and double checked, it still says ""Password / PIN"".";{'67a86e837e1c9e006a6de042f4663bca08c40f4bd33dfcb194af0e57a283a3b0': 1.7471777, '60b83e864e6d1d5926b6f97e8edc50fcd08beb91417f924394b0baa463a228d9': 0.75259113, '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b': 0.17890881};[2, 41, 3];['../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp1.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp46.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp13.png']
Bug130;4;"Selecting ""Android KeyStore"" and then back to ""Password / PIN"" updates the text on the third slide.";{'5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b': 3.9325933, '5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf': 3.6760554, '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7': 3.029237};[3, 4, 15];['../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp13.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp4.png', '../data/TraceReplayer-Data/TR130/org.shadowice.flocke.andotp.dev-0.6.3.1-dev/screenshots/org.shadowice.flocke.andotp.dev.User-Trace.1.org.shadowice.flocke.andotp.dev_0.6.3.1-dev_andotp15.png']
