Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Category;Bug-Type;OB-Category;OB-Rating;Ground-Truth;Ranked-Documents;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10
Bug129;1;App crashes.;0;Non-Synthetic Bug;App crashes;Hard;2;['8'];{'12': 0.2825740575790405, '0': 0.19751286506652832, '13': 0.18821166455745697, '2': 0.14142251014709473, '10': 0.12762604653835297, '11': 0.09760785847902298, '7': 0.08803689479827881, '4': 0.07892255485057831, '3': 0.07867361605167389, '9': 0.07678283751010895, '1': 0.05391545593738556, '8': 0.040747009217739105, '5': 0.022887174040079117, '6': 0.010878991335630417};12;0.0833333333333333;0.0833333333333333;0;0;0;0;0;0;0;0;0;0
Bug130;0;"Onboarding issues: Third ""Let's get started"" slide show the wrong encryption method";1;Synthetic Bug;Undesirable component;Hard;3;['1'];{'5': 0.2205851674079895, '1': 0.19222374260425568, '3': 0.12072314321994781, '6': 0.06125703081488609, '0': 0.0557895191013813, '4': 0.0462556853890419, '8': 0.021788042038679123, '2': 0.01848623715341091, '7': -0.017871621996164322};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug130;0;"Onboarding issues: Third ""Let's get started"" slide show the wrong encryption method";1;Synthetic Bug;Undesirable component;Hard;3;['1'];{'4': 0.2205851674079895, '1': 0.19222374260425568, '6': 0.06125703081488609, '0': 0.0557895191013813, '3': 0.044205330312252045, '8': 0.021788042038679123, '2': 0.01848623715341091, '5': -0.0003652367740869522, '7': -0.017871621996164322};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug130;0;"Onboarding issues: Third ""Let's get started"" slide show the wrong encryption method";1;Synthetic Bug;Undesirable component;Hard;3;['3'];{'5': 0.2205851674079895, '1': 0.19222374260425568, '4': 0.16010436415672302, '3': 0.1119917780160904, '6': 0.10834264010190964, '7': 0.06125703081488609, '0': 0.0557895191013813, '9': 0.021788042038679123, '2': 0.01848623715341091, '8': -0.017871621996164322};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug130;1;Since you have chosen Android KeyStore as encryption method this is optional.;0;Synthetic Bug;Undesirable component;Hard;3;['1'];{'1': 0.6525014638900757, '2': 0.2963978350162506, '3': 0.2662239670753479, '5': 0.26423659920692444, '0': 0.24247288703918457, '8': 0.19050045311450958, '6': 0.16840699315071106, '7': 0.16502396762371063, '4': 0.15387922525405884};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;1;Since you have chosen Android KeyStore as encryption method this is optional.;0;Synthetic Bug;Undesirable component;Hard;3;['1'];{'1': 0.6525014638900757, '2': 0.2963978350162506, '4': 0.26423659920692444, '0': 0.24247288703918457, '5': 0.213616281747818, '8': 0.19050045311450958, '6': 0.16840699315071106, '7': 0.16502396762371063, '3': 0.1376403272151947};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;1;Since you have chosen Android KeyStore as encryption method this is optional.;0;Synthetic Bug;Undesirable component;Hard;3;['3'];{'1': 0.6525014638900757, '2': 0.2963978350162506, '4': 0.2799449861049652, '6': 0.2653711438179016, '5': 0.26423659920692444, '3': 0.2455383837223053, '0': 0.24247288703918457, '9': 0.19050045311450958, '7': 0.16840699315071106, '8': 0.16502396762371063};6;0.1666666666666666;0.1666666666666666;0;0;0;0;0;1;1;1;1;1
Bug130;2;"The dropdown on the third slide has ""None"" and ""Device credentials"" greyed out, so I guess the text is just a UI bug.";0;Synthetic Bug;Undesirable component;Hard;3;['1'];{'2': 0.32771438360214233, '0': 0.25740712881088257, '5': 0.254784494638443, '1': 0.2188585102558136, '6': 0.19267725944519043, '8': 0.17728187143802643, '3': 0.15439344942569733, '4': 0.14276251196861267, '7': 0.10568929463624954};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug130;2;"The dropdown on the third slide has ""None"" and ""Device credentials"" greyed out, so I guess the text is just a UI bug.";0;Synthetic Bug;Undesirable component;Hard;3;['1'];{'2': 0.32771438360214233, '0': 0.25740712881088257, '4': 0.254784494638443, '1': 0.2188585102558136, '6': 0.19267725944519043, '8': 0.17728187143802643, '3': 0.1458398997783661, '5': 0.1400001496076584, '7': 0.10568929463624954};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug130;2;"The dropdown on the third slide has ""None"" and ""Device credentials"" greyed out, so I guess the text is just a UI bug.";0;Synthetic Bug;Undesirable component;Hard;3;['3'];{'2': 0.32771438360214233, '0': 0.25740712881088257, '5': 0.254784494638443, '3': 0.22779890894889832, '1': 0.2188585102558136, '4': 0.20761634409427643, '6': 0.1958957016468048, '7': 0.19267725944519043, '9': 0.17728187143802643, '8': 0.10568929463624954};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug130;3;"I went back to the second slide and double checked, it still says ""Password / PIN"".";0;Synthetic Bug;Undesirable component;Hard;4;['1'];{'5': 0.3820686936378479, '1': 0.27807891368865967, '3': 0.24041679501533508, '2': 0.21869561076164246, '6': 0.20058004558086395, '8': 0.17309828102588654, '4': 0.12858587503433228, '0': 0.11559136211872101, '7': 0.11311199516057968};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug130;3;"I went back to the second slide and double checked, it still says ""Password / PIN"".";0;Synthetic Bug;Undesirable component;Hard;4;['1'];{'4': 0.3820686936378479, '1': 0.27807891368865967, '2': 0.21869561076164246, '6': 0.20058004558086395, '8': 0.17309828102588654, '5': 0.1549392193555832, '3': 0.1230858564376831, '0': 0.11559136211872101, '7': 0.11311199516057968};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug130;3;"I went back to the second slide and double checked, it still says ""Password / PIN"".";0;Synthetic Bug;Undesirable component;Hard;4;['3'];{'5': 0.3820686936378479, '4': 0.3271229565143585, '6': 0.30011671781539917, '1': 0.27807891368865967, '3': 0.26362985372543335, '2': 0.21869561076164246, '7': 0.20058004558086395, '9': 0.17309828102588654, '0': 0.11559136211872101, '8': 0.11311199516057968};5;0.2;0.2;0;0;0;0;1;1;1;1;1;1
Bug130;4;"Selecting ""Android KeyStore"" and then back to ""Password / PIN"" updates the text on the third slide.";0;Synthetic Bug;Undesirable component;Hard;4;['1'];{'1': 0.5154736042022705, '5': 0.4641380310058594, '2': 0.4216872751712799, '3': 0.35750943422317505, '6': 0.31435778737068176, '8': 0.27435529232025146, '0': 0.26665976643562317, '4': 0.18659770488739014, '7': 0.17662771046161652};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;4;"Selecting ""Android KeyStore"" and then back to ""Password / PIN"" updates the text on the third slide.";0;Synthetic Bug;Undesirable component;Hard;4;['1'];{'1': 0.5154736042022705, '4': 0.4641380310058594, '2': 0.4216872751712799, '6': 0.31435778737068176, '8': 0.27435529232025146, '0': 0.26665976643562317, '5': 0.21730482578277588, '3': 0.19376207888126373, '7': 0.17662771046161652};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;4;"Selecting ""Android KeyStore"" and then back to ""Password / PIN"" updates the text on the third slide.";0;Synthetic Bug;Undesirable component;Hard;4;['3'];{'1': 0.5154736042022705, '5': 0.4641380310058594, '2': 0.4216872751712799, '3': 0.4139562249183655, '4': 0.3660110533237457, '6': 0.34523022174835205, '7': 0.31435778737068176, '9': 0.27435529232025146, '0': 0.26665976643562317, '8': 0.17662771046161652};4;0.25;0.25;0;0;0;1;1;1;1;1;1;1
Bug130;5;"However, here's a second issue: if I explicitly select ""Android KeyStore"" then the third slide still has a red text saying ""Please set a password to continue"".";0;Synthetic Bug;Undesirable component;Easy;5;['1'];{'1': 0.46513891220092773, '5': 0.46105703711509705, '2': 0.39050936698913574, '3': 0.35389673709869385, '6': 0.29686689376831055, '8': 0.2726588845252991, '0': 0.2170139104127884, '7': 0.190231055021286, '4': 0.1704489290714264};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;5;"However, here's a second issue: if I explicitly select ""Android KeyStore"" then the third slide still has a red text saying ""Please set a password to continue"".";0;Synthetic Bug;Undesirable component;Easy;5;['1'];{'1': 0.46513891220092773, '4': 0.46105703711509705, '2': 0.39050936698913574, '6': 0.29686689376831055, '8': 0.2726588845252991, '0': 0.2170139104127884, '7': 0.190231055021286, '3': 0.18724842369556427, '5': 0.18695931136608124};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;5;"However, here's a second issue: if I explicitly select ""Android KeyStore"" then the third slide still has a red text saying ""Please set a password to continue"".";0;Synthetic Bug;Undesirable component;Easy;5;['3'];{'1': 0.46513891220092773, '5': 0.46105703711509705, '3': 0.41983887553215027, '2': 0.39050936698913574, '4': 0.3322986960411072, '6': 0.31039366126060486, '7': 0.29686689376831055, '9': 0.2726588845252991, '0': 0.2170139104127884, '8': 0.190231055021286};3;0.3333333333333333;0.3333333333333333;0;0;1;1;1;1;1;1;1;1
Bug191;0;Negative Credits;1;Synthetic Bug;Wrong information is displayed;Hard;2;['0'];{'0': 0.220743328332901, '1': 0.04492349177598953, '9': 0.022437507286667824, '8': 0.00573320034891367, '3': -0.025097474455833435, '7': -0.031570300459861755, '5': -0.03206552937626839, '6': -0.032890599220991135, '4': -0.04817408323287964, '10': -0.05085273087024689, '2': -0.0631650984287262};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug191;1;2. drag+drop any defence towers you like, credits < 0 are possible;0;Synthetic Bug;Wrong information is displayed;Easy;3;['0'];{'10': 0.20988233387470245, '0': 0.19610543549060822, '9': 0.18343855440616608, '6': 0.18253061175346375, '7': 0.17901581525802612, '5': 0.17491407692432404, '4': 0.1634409874677658, '8': 0.15360862016677856, '1': 0.12202881276607513, '2': 0.11893945932388306, '3': 0.11033876240253448};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug206;0;Timestamp 0 when never exported.;1;Synthetic Bug;Wrong information is displayed;Hard;3;['13'];{'12': 0.2674970030784607, '13': 0.17253297567367554, '7': 0.16699211299419403, '6': 0.05159493163228035, '9': 0.025514282286167145, '5': -0.00927611906081438, '3': -0.02009616605937481, '11': -0.025131994858384132, '8': -0.0310262069106102, '0': -0.03538370877504349, '2': -0.05783819407224655, '4': -0.06312956660985947, '10': -0.08321776241064072, '1': -0.09086033701896667};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug206;1;Last exported: 1970-01-à1 01-00-00.0;0;Synthetic Bug;Wrong information is displayed;Hard;3;['13'];{'12': 0.26020175218582153, '13': 0.2195340096950531, '7': 0.11479519307613373, '11': 0.10138590633869171, '6': 0.07619045674800873, '5': 0.025811493396759033, '8': 0.012798655778169632, '3': 0.004653681069612503, '10': -0.006600514054298401, '9': -0.016149379312992096, '2': -0.031989578157663345, '0': -0.04033203423023224, '4': -0.08569938689470291, '1': -0.15098558366298676};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug256;0;App crashes when trying modify account if default transaction account no longer exist.;1;Non-Synthetic Bug;App crashes;Easy;4;['0'];{'0': 0.1739066243171692, '2': 0.11109428852796555, '1': 0.09968216717243195};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug256;0;App crashes when trying modify account if default transaction account no longer exist.;1;Non-Synthetic Bug;App crashes;Easy;4;['0'];{'1': 0.19280895590782166, '0': 0.1739066243171692};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug256;1;5. Modify account B, crash occurred.;0;Non-Synthetic Bug;App crashes;Hard;4;['0'];{'0': 0.12292034178972244, '2': 0.054672956466674805, '1': -0.0032806629315018654};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug256;1;5. Modify account B, crash occurred.;0;Non-Synthetic Bug;App crashes;Hard;4;['0'];{'0': 0.12292034178972244, '1': 0.08558683842420578};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug256;2;App crashed.;0;Non-Synthetic Bug;App crashes;Hard;2;['0'];{'2': 0.12231799960136414, '0': 0.10027194023132324, '1': 0.07046635448932648};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug256;2;App crashed.;0;Non-Synthetic Bug;App crashes;Hard;2;['0'];{'1': 0.14351345598697662, '0': 0.10027194023132324};2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug1066;0;URL bar text sometimes cleared when pressing near url bar;1;Synthetic Bug;Text in Component disappears;Easy;4;['2'];{'6': 0.2529218792915344, '9': 0.24719883501529694, '1': 0.22945523262023926, '10': 0.21433401107788086, '3': 0.2130483090877533, '7': 0.194720059633255, '2': 0.18325498700141907, '8': 0.18233372271060944, '4': 0.16016195714473724, '11': 0.11177999526262283, '0': 0.07597851753234863, '5': 0.065808966755867};7;0.1428571428571428;0.1428571428571428;0;0;0;0;0;0;1;1;1;1
Bug1066;0;URL bar text sometimes cleared when pressing near url bar;1;Synthetic Bug;Text in Component disappears;Easy;4;['1'];{'1': 0.3161649703979492, '6': 0.2529218792915344, '0': 0.22945523262023926, '3': 0.2130483090877533, '4': 0.16016195714473724, '5': 0.065808966755867, '2': -0.020448744297027588};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1066;0;URL bar text sometimes cleared when pressing near url bar;1;Synthetic Bug;Text in Component disappears;Easy;4;['2'];{'6': 0.2529218792915344, '9': 0.24719883501529694, '3': 0.24131609499454498, '1': 0.22945523262023926, '10': 0.21433401107788086, '4': 0.2130483090877533, '7': 0.194720059633255, '8': 0.18233372271060944, '2': 0.1381435990333557, '11': 0.10777109116315842, '0': 0.07597851753234863, '5': 0.065808966755867};9;0.1111111111111111;0.1111111111111111;0;0;0;0;0;0;0;0;1;1
Bug1066;1;Text clears;0;Synthetic Bug;Text in Component disappears;Hard;2;['2'];{'6': 0.21574151515960693, '11': 0.17936338484287262, '7': 0.17729511857032776, '8': 0.15811219811439514, '9': 0.14525346457958221, '2': 0.14155010879039764, '5': 0.12092499434947968, '10': 0.1150980293750763, '0': 0.018336238339543343, '3': -0.0046866536140441895, '1': -0.009909067302942276, '4': -0.035957422107458115};6;0.1666666666666666;0.1666666666666666;0;0;0;0;0;1;1;1;1;1
Bug1066;1;Text clears;0;Synthetic Bug;Text in Component disappears;Hard;2;['1'];{'1': 0.22395175695419312, '6': 0.21574151515960693, '5': 0.12092499434947968, '2': 0.06812818348407745, '3': -0.0046866536140441895, '0': -0.009909067302942276, '4': -0.035957422107458115};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1066;1;Text clears;0;Synthetic Bug;Text in Component disappears;Hard;2;['2'];{'3': 0.22437071800231934, '6': 0.21574151515960693, '7': 0.17729511857032776, '8': 0.15811219811439514, '11': 0.1455966979265213, '9': 0.14525346457958221, '5': 0.12092499434947968, '10': 0.1150980293750763, '2': 0.035162828862667084, '0': 0.018336238339543343, '4': -0.0046866536140441895, '1': -0.009909067302942276};9;0.1111111111111111;0.1111111111111111;0;0;0;0;0;0;0;0;1;1
Bug1067;0;Home screen tips toggle improperly indented;1;Non-Synthetic Bug;Text in a component is misaligned;Easy;4;['2'];{'2': 0.37572669982910156, '3': 0.2794974446296692, '10': 0.21693159639835358, '0': 0.20500892400741577, '6': 0.13788816332817078, '8': 0.12237906455993652, '4': 0.07679349929094315, '5': 0.07338409870862961, '7': 0.07338409870862961, '9': 0.07338409870862961, '11': 0.07338409870862961, '1': 0.04557383432984352};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1067;1;"""Show homescreen tips"" is indented";0;Non-Synthetic Bug;Text in a component is misaligned;Easy;3;['2'];{'2': 0.377907395362854, '3': 0.2040565311908722, '10': 0.12600935995578766, '0': 0.11220282316207886, '6': 0.06211872771382332, '8': 0.046463727951049805, '4': 0.04178693890571594, '1': 0.01927359774708748, '5': 0.016712728887796402, '7': 0.016712728887796402, '9': 0.016712728887796402, '11': 0.016712728887796402};1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
