Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Category;Bug-Type;OB-Category;OB-Rating;Ground-Truth;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10
Bug117;2;Refreshing also changes the space between each row of nutritional value.;0;Synthetic Bug;GUI refresh issue;Easy;5;['0c3ff76dd00f39e87d780c124a88f78049b3e5ea87a143b735ad992d55dcaba9', '5190822dc529fe5d177c3c2c1a8524e6ed7e98726d6c18ecc2c4c522c99f323e'];2;0.5;0.5833333333333333;0;1;1;1;1;1;1;1;1;1
Bug128;0;Switching language is not working.;1;Synthetic Bug;Wrong theme in screen;Hard;2;['566c956cf3003e123f19dc6a2a21fb2f99a124b0d9940b3c3c1b30f728422435'];26;0.0384615384615384;0.0384615384615384;0;0;0;0;0;0;0;0;0;0
Bug128;1;The app is falling back to english;0;Synthetic Bug;Wrong theme in screen;Hard;2;['566c956cf3003e123f19dc6a2a21fb2f99a124b0d9940b3c3c1b30f728422435'];27;0.037037037037037;0.037037037037037;0;0;0;0;0;0;0;0;0;0
Bug129;0;App crashes if incorrect secret is entered;1;Non-Synthetic Bug;App crashes;Easy;5;['13f900fd6fafd93838196fd1d853c27632a626eabdf837dd0e870ad2c2f5266a', 'd82887d972e8a0ae941ccefb7e73afd7a8972cd330a355d822cdabb60351fdfa', '8a6b7b5a5c844618e99480602ed9fd5834452497d3adde79235c6e89bbc1558e', '880dd477e9f36942e3f0b5cd86b8a9690b014aaabf72b5d0791759d0422ba6ea'];1;1.0;0.5851190476190475;1;1;1;1;1;1;1;1;1;1
Bug129;1;App crashes.;0;Non-Synthetic Bug;App crashes;Hard;2;['13f900fd6fafd93838196fd1d853c27632a626eabdf837dd0e870ad2c2f5266a', 'd82887d972e8a0ae941ccefb7e73afd7a8972cd330a355d822cdabb60351fdfa', '8a6b7b5a5c844618e99480602ed9fd5834452497d3adde79235c6e89bbc1558e', '880dd477e9f36942e3f0b5cd86b8a9690b014aaabf72b5d0791759d0422ba6ea'];1;1.0;0.5083333333333333;1;1;1;1;1;1;1;1;1;1
Bug130;0;"Onboarding issues: Third ""Let's get started"" slide show the wrong encryption method";1;Synthetic Bug;Undesirable component;Hard;3;['5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf', '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7', '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b'];3;0.3333333333333333;0.4777777777777777;0;0;1;1;1;1;1;1;1;1
Bug130;1;Since you have chosen Android KeyStore as encryption method this is optional.;0;Synthetic Bug;Undesirable component;Hard;3;['5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf', '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7', '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;2;"The dropdown on the third slide has ""None"" and ""Device credentials"" greyed out, so I guess the text is just a UI bug.";0;Synthetic Bug;Undesirable component;Hard;3;['5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf', '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7', '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b'];6;0.1666666666666666;0.1977124183006536;0;0;0;0;0;1;1;1;1;1
Bug130;3;"I went back to the second slide and double checked, it still says ""Password / PIN"".";0;Synthetic Bug;Undesirable component;Hard;4;['5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf', '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7', '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b'];3;0.3333333333333333;0.4777777777777777;0;0;1;1;1;1;1;1;1;1
Bug130;4;"Selecting ""Android KeyStore"" and then back to ""Password / PIN"" updates the text on the third slide.";0;Synthetic Bug;Undesirable component;Hard;4;['5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf', '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7', '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug130;5;"However, here's a second issue: if I explicitly select ""Android KeyStore"" then the third slide still has a red text saying ""Please set a password to continue"".";0;Synthetic Bug;Undesirable component;Easy;5;['5b8041ae2bf7a9056b4a78b47356850e866e256cbad31ef53b267fac95e431cf', '320c867c3f14d180d08d86de381b7a9f68b8cf48ec1cc229d88b8cbd76f6bbd7', '5780f33d918cc9ee940756955d17f1376f91a80888e5a97fbf98d3a4ff22358b'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug135;0;"When clicking on a category in night mode, the app does not show the ""Parent Categories"", there's a blank space instead.";0;Non-Synthetic Bug;Data is not displayed;Easy;5;['5f73d16c7a634772a51c9c854a69bc9dec5f65b77d44fab362d5462a759767e8'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug191;0;Negative Credits;1;Synthetic Bug;Wrong information is displayed;Hard;2;['8430d221ab4d15f270457f7e12b3c8fff85018a5d25e41321c6525a561a8cb4d'];3;0.3333333333333333;0.3333333333333333;0;0;1;1;1;1;1;1;1;1
Bug191;1;2. drag+drop any defence towers you like, credits < 0 are possible;0;Synthetic Bug;Wrong information is displayed;Easy;3;['8430d221ab4d15f270457f7e12b3c8fff85018a5d25e41321c6525a561a8cb4d'];3;0.3333333333333333;0.3333333333333333;0;0;1;1;1;1;1;1;1;1
Bug206;0;Timestamp 0 when never exported.;1;Synthetic Bug;Wrong information is displayed;Hard;3;['4bebd7279257bebd1d5e73837e1bf79a9f3eb2890b02646bb0274158130d0e4f'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug206;1;Last exported: 1970-01-à1 01-00-00.0;0;Synthetic Bug;Wrong information is displayed;Hard;3;['4bebd7279257bebd1d5e73837e1bf79a9f3eb2890b02646bb0274158130d0e4f'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug209;0;Bug: Long pressing the amount input brings up QWERTY keyboard;1;Synthetic Bug;Undesirable component;Easy;4;['812eb306a2a9fe1f1b7b22e1d8ac7f5cb52a5556d3a67d0340a5a185fb842065'];5;0.2;0.2;0;0;0;0;1;1;1;1;1;1
Bug256;0;App crashes when trying modify account if default transaction account no longer exist.;1;Non-Synthetic Bug;App crashes;Easy;4;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '5a9b8a9e50124d5fb5b888f933b48a44fd2301deab4e47043b2e49ee1c472b61', '5011c950846f4b3865e9eb633c3d562fa553ecf430dc155ad98009c7755aa80a'];1;1.0;0.3995621237000548;1;1;1;1;1;1;1;1;1;1
Bug256;1;5. Modify account B, crash occurred.;0;Non-Synthetic Bug;App crashes;Hard;4;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '5a9b8a9e50124d5fb5b888f933b48a44fd2301deab4e47043b2e49ee1c472b61', '5011c950846f4b3865e9eb633c3d562fa553ecf430dc155ad98009c7755aa80a'];5;0.2;0.1804487179487179;0;0;0;0;1;1;1;1;1;1
Bug256;2;App crashed.;0;Non-Synthetic Bug;App crashes;Hard;2;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '5a9b8a9e50124d5fb5b888f933b48a44fd2301deab4e47043b2e49ee1c472b61', '5011c950846f4b3865e9eb633c3d562fa553ecf430dc155ad98009c7755aa80a'];6;0.1666666666666666;0.1466124661246612;0;0;0;0;0;1;1;1;1;1
Bug1066;0;URL bar text sometimes cleared when pressing near url bar;1;Synthetic Bug;Text in Component disappears;Easy;4;['33e4756242435b50d079669e652590d157833154ee83e25427874319e041be1b', '716d4ada420fc55a4b7560a2ce89a0b2b2ad1f0646fc8e32a125f8db78dda838', 'ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4'];6;0.1666666666666666;0.2174603174603174;0;0;0;0;0;1;1;1;1;1
Bug1066;1;Text clears;0;Synthetic Bug;Text in Component disappears;Hard;2;['33e4756242435b50d079669e652590d157833154ee83e25427874319e041be1b', '716d4ada420fc55a4b7560a2ce89a0b2b2ad1f0646fc8e32a125f8db78dda838', 'ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4'];3;0.3333333333333333;0.3686868686868687;0;0;1;1;1;1;1;1;1;1
Bug1067;0;Home screen tips toggle improperly indented;1;Non-Synthetic Bug;Text in a component is misaligned;Easy;4;['426c058ed394da5f95cddea3b528f9cc8621b11942f1c5f89844a909d82c81a2'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1067;1;"""Show homescreen tips"" is indented";0;Non-Synthetic Bug;Text in a component is misaligned;Easy;3;['426c058ed394da5f95cddea3b528f9cc8621b11942f1c5f89844a909d82c81a2'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1073;0;Your Rights license link broken;1;Synthetic Bug;Data is not listed in the right sorting/order;Easy;4;['9b7fa07c923887a5f3a660121936196c3cb378bad31dc2f05ea023c7a21c2692'];13;0.0769230769230769;0.0769230769230769;0;0;0;0;0;0;0;0;0;0
Bug1073;1;Nothing;0;Non-Synthetic Bug;Data is not displayed;Hard;1;['9b7fa07c923887a5f3a660121936196c3cb378bad31dc2f05ea023c7a21c2692'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug1096;0;Going back while recording sound causes endless loading (or crash);1;Non-Synthetic Bug;Undesirable  behavior ;Hard;5;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16'];32;0.03125;0.03125;0;0;0;0;0;0;0;0;0;0
Bug1096;1;Record the sound, press done, and endless Loading screen.;0;Non-Synthetic Bug;Undesirable  behavior ;Hard;5;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16'];34;0.0294117647058823;0.0294117647058823;0;0;0;0;0;0;0;0;0;0
Bug1096;2;When I try to replicate given the steps above (on a Pixel 3), I just get a crash immediately after tapping the back button in the left side of the header.;0;Non-Synthetic Bug;App crashes;Hard;4;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d'];8;0.125;0.1458333333333333;0;0;0;0;0;0;0;1;1;1
Bug1096;3;get an endless Loading screen;0;Non-Synthetic Bug;App crashes;Hard;4;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d'];8;0.125;0.0888157894736842;0;0;0;0;0;0;0;1;1;1
Bug1096;4;unable to go back;0;Non-Synthetic Bug;App crashes;Hard;4;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d'];7;0.1428571428571428;0.1339285714285714;0;0;0;0;0;0;1;1;1;1
Bug1096;5;have to force close iNat app;0;Non-Synthetic Bug;App crashes;Hard;4;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d'];1;1.0;0.7;1;1;1;1;1;1;1;1;1;1
Bug1202;0;[Filter Images] Toast to save current is displayed even when image is saved;1;Synthetic Bug;Undesirable component;Hard;3;['8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d', 'cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095'];2;0.5;0.5833333333333333;0;1;1;1;1;1;1;1;1;1
Bug1202;1;The toast is displayed Save current first;0;Synthetic Bug;Undesirable component;Hard;3;['8de2c3591a2cb27e7f7be8092bf5055f9b6c984afbae8b87c226b0ec7660b60d', 'cb18a9e51864e448b3181970bddbfa11b129c6ccb75673e82c46968cf1ea9095'];2;0.5;0.5833333333333333;0;1;1;1;1;1;1;1;1;1
Bug1207;0;App crashes due to invalid values being processed;1;Non-Synthetic Bug;App crashes;Hard;3;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620'];2;0.5;0.3055555555555556;0;1;1;1;1;1;1;1;1;1
Bug1207;1;"When entering an invalid value (empty or ""0"") in the ""Advanced Options"" section when manually entering details, the app crashes.";0;Non-Synthetic Bug;App crashes;Easy;5;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620'];3;0.3333333333333333;0.2166666666666666;0;0;1;1;1;1;1;1;1;1
Bug1207;2;App crashes.;0;Non-Synthetic Bug;App crashes;Hard;2;['0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16', '7289de2d8229b56e93df71cccfefd2138ecd15642c8a33d8a571351dc5863620'];1;1.0;0.54;1;1;1;1;1;1;1;1;1;1
Bug1214;0;"Confirmation field doesn't react to ""show password"" option when setting password/PIN the first time";1;Synthetic Bug;Unclickable component;Easy;5;['501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f'];2;0.5;0.5;0;1;1;1;1;1;1;1;1;1
Bug1214;1;The confirm password field doesn't show password/PIN.;0;Synthetic Bug;Text in Component disappears;Easy;4;['501e2e5c249dc28abf8e52d4912f52dd03d21b39399e14fc8f8be14b3c59234f'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1215;0;Crash when entering too large of a number in manual entry dialog;1;Non-Synthetic Bug;App crashes;Easy;4;['c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de', '5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7', '37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab'];3;0.3333333333333333;0.265172735760971;0;0;1;1;1;1;1;1;1;1
Bug1215;1;The application crashes.;0;Non-Synthetic Bug;App crashes;Hard;2;['c2bcb423c10b457414a7f4fdc8bb73d9e84af300be5c9127579f744aae8c51de', '5aade91098c778c025c4d23a7a06a4a475e9ed8ae5cbeb0de86c970a79ea6ba7', '37b4142557edc79ce33891e22c8b36cdca317c18cbd1f62155632ebf5f0d84ab'];10;0.1;0.1402777777777777;0;0;0;0;0;0;0;0;0;1
Bug1224;0;When an account is edited, its color is lost;1;Synthetic Bug;Component is not displayed (correctly);Hard;4;['0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07', '8e14e795c1c4fd49424562a254e3e44e9726001d357da4db0b5c70df89147148', '39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20', '88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a', 'ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec'];21;0.0476190476190476;0.0840094510715554;0;0;0;0;0;0;0;0;0;0
Bug1224;1;The color is unset.;0;Synthetic Bug;Showing data in wrong format;Hard;2;['0d34b2ae6aceeaadad83681111614b957a1283faf7d0f04c502a81f9a5650c07', '8e14e795c1c4fd49424562a254e3e44e9726001d357da4db0b5c70df89147148', '39d5d97f59c7df026e01e9d0a9a3defc9fbc6e313a433ee8a28da891e5179b20', '88bedf63bd63a5a4fd56cdb60d2b0f362177e88f3caa8e971fa2d3afb2865d9a', 'ddbdee487465d14bc34b5f19129a0d8a8aa5316763ea2d0fff2916b5e3a64bec'];21;0.0476190476190476;0.057862786905807;0;0;0;0;0;0;0;0;0;0
Bug1226;0;App crashes after creating account with BYN currency;1;Non-Synthetic Bug;App crashes;Easy;5;['2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', '90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84', '374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3'];2;0.5;0.2889317889317889;0;1;1;1;1;1;1;1;1;1
Bug1226;1;3. App crashes;0;Non-Synthetic Bug;App crashes;Hard;2;['2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', '90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84', '374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3'];2;0.5;0.2019260639950295;0;1;1;1;1;1;1;1;1;1
Bug1226;2;4. Any further attempts to start the app cause crashes;0;Non-Synthetic Bug;App crashes;Easy;5;['2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0', '90e9cf15b97831124b79c7070c0bf7259c6bc734990e8f8265f30be85d2a7f84', '374c03f3602288ed8325672a98424fdb558a99b420f926a20f59a56ea4ab35f3'];5;0.2;0.1060291858678955;0;0;0;0;1;1;1;1;1;1
Bug1299;0;[BUG] Crashes in Collect after importing field_sample.csv;1;Non-Synthetic Bug;App crashes;Easy;3;['e9baf7bd2356f52876be906bce06fe0d645bf7d061dc6158d90b0e4cfb1b20a6', '16c9d62c265c8fdb4e439859c356403676619f27ba36b7df23aeaf444ab30cd4'];14;0.0714285714285714;0.0811688311688311;0;0;0;0;0;0;0;0;0;0
Bug1299;1;Following exception occurs after importing a sample csv, going to Collect, and pressing the +1 button.;0;Non-Synthetic Bug;App crashes;Easy;5;['e9baf7bd2356f52876be906bce06fe0d645bf7d061dc6158d90b0e4cfb1b20a6', '16c9d62c265c8fdb4e439859c356403676619f27ba36b7df23aeaf444ab30cd4'];14;0.0714285714285714;0.0982142857142857;0;0;0;0;0;0;0;0;0;0
Bug1299;2;6. Click any button (other than primary/secondary choice) on this page and the app crashes;0;Non-Synthetic Bug;App crashes;Easy;4;['e9baf7bd2356f52876be906bce06fe0d645bf7d061dc6158d90b0e4cfb1b20a6', '16c9d62c265c8fdb4e439859c356403676619f27ba36b7df23aeaf444ab30cd4'];8;0.125;0.1394230769230769;0;0;0;0;0;0;0;1;1;1
Bug1399;0;redundant camera dialog;1;Synthetic Bug;Undesirable component;Hard;2;['ad41e7f2e73e4e533bb9f1b4c59f36302e57e0a958e977b09a97d5c2cabb10d2'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1399;1;after resetting the settings, a dialog appears while opening up the camera settings for the first time which navigates to the camera.;0;Synthetic Bug;Undesirable component;Easy;5;['ad41e7f2e73e4e533bb9f1b4c59f36302e57e0a958e977b09a97d5c2cabb10d2'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1399;2;a dialog would appear which directs to camera on clicking ok.;0;Synthetic Bug;Undesirable component;Easy;4;['ad41e7f2e73e4e533bb9f1b4c59f36302e57e0a958e977b09a97d5c2cabb10d2'];1;1.0;1.0;1;1;1;1;1;1;1;1;1;1
Bug1430;0;Crash after deleting a program that is in progress;1;Non-Synthetic Bug;App crashes;Hard;3;['bf8ce597a165d063465dfa0a76e9184cdcd6593596885753e8d2808b1ef505e1', 'd39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b', '7dc0ecb412c8115ab5f890684aa866f751b8587206fa4a03cdd791ae1120201d'];8;0.125;0.1686507936507936;0;0;0;0;0;0;0;1;1;1
Bug1430;1;"If you start a program, then go to delete it without first stopping it, then the next time you go back into ""Workout"" the application will crash.";0;Non-Synthetic Bug;App crashes;Easy;5;['bf8ce597a165d063465dfa0a76e9184cdcd6593596885753e8d2808b1ef505e1', 'd39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b', '7dc0ecb412c8115ab5f890684aa866f751b8587206fa4a03cdd791ae1120201d'];7;0.1428571428571428;0.2216931216931217;0;0;0;0;0;0;1;1;1;1
Bug1430;2;It will be stuck in a crash loop.;0;Non-Synthetic Bug;App crashes;Hard;2;['bf8ce597a165d063465dfa0a76e9184cdcd6593596885753e8d2808b1ef505e1', 'd39c2c754950166798705365a33ee5104463a282c70fbcd711ff3d9f25a7e75b', '7dc0ecb412c8115ab5f890684aa866f751b8587206fa4a03cdd791ae1120201d'];1;1.0;0.6333333333333333;1;1;1;1;1;1;1;1;1;1
