Bug-ID;OB-ID;OB-Text;OB-in-Title?;Bug-Type;OB-Category;OB-Rating;OB-Text;Ground-Truth;Ranked-Document;First-Rank;Reciprocal-Rank;Average-Precision;h@1;h@2;h@3;h@4;h@5;h@6;h@7;h@8;h@9;h@10;Can-Retrieve-Any-Document?
Bug1066;1;Text clears;0;Text in Component disappears;Hard;2;Text clears;[33e4756242435b50d079669e652590d157833154ee83e25427874319e041be1b, 716d4ada420fc55a4b7560a2ce89a0b2b2ad1f0646fc8e32a125f8db78dda838, ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4];{a90bfef0efd9f5ba93945ee556dfff2ea41dd517cb4a6f2b83cafbaf704946eb=0.34009832, 5bb04c51846e1e070d6008623be41376e4c5602317567440e10162ee17a368b5=0.20219946, ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4=0.17331383, ff9400a05df4368125e354adb0a667b835426e7c31a6307c776649dbbeaedbf7=0.12817937, c1a043097e612905f4bfaa231385399355898102d6b59d0e685e89c80376f29f=0.102543496, 9677d529bc26a4fa3165ad900e962571edc2f05472da101f4fce1a2ba143bdda=0.102543496, 7b79ef4e0be323ac27c570dc25070a1f7830cb3057d05408136b125a1a60b152=0.102543496};3.0;0.3333333333333333;0.1111111111111111;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug1067;0;Home screen tips toggle improperly indented;1;Text in a component is misaligned;Easy;4;Home screen tips toggle improperly indented;[426c058ed394da5f95cddea3b528f9cc8621b11942f1c5f89844a909d82c81a2];{426c058ed394da5f95cddea3b528f9cc8621b11942f1c5f89844a909d82c81a2=0.1894191, 7b79ef4e0be323ac27c570dc25070a1f7830cb3057d05408136b125a1a60b152=0.09462052, 716d4ada420fc55a4b7560a2ce89a0b2b2ad1f0646fc8e32a125f8db78dda838=0.010073184, 0a1873e372b935d575c77043780ab13ef934d50fde94cee900ff869dcba6018d=0.008814036, 5bb04c51846e1e070d6008623be41376e4c5602317567440e10162ee17a368b5=0.008814036, 8630286bf8776e5427e5fb282d43edcb74f8e965f7a94fb37f8f4b55df0bcbe1=0.008723633, ee923fe4324899f33f6e12779cee57014b1fd5225adc7d12b631978a89de6bf4=0.007554888, d45e11eca94bda6b56cbe8dec7bc37a2be5dc1e280a7277ac12794dccc6c32f9=0.005036592};1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug1067;1;""Show homescreen tips"" is indented;0;Text in a component is misaligned;Easy;3;""Show homescreen tips"" is indented;[426c058ed394da5f95cddea3b528f9cc8621b11942f1c5f89844a909d82c81a2];{426c058ed394da5f95cddea3b528f9cc8621b11942f1c5f89844a909d82c81a2=0.18703581, 8630286bf8776e5427e5fb282d43edcb74f8e965f7a94fb37f8f4b55df0bcbe1=0.020601213};1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug1073;0;Your Rights license link broken;1;Data is not listed in the right sorting/order;Easy;4;Your Rights license link broken;[9b7fa07c923887a5f3a660121936196c3cb378bad31dc2f05ea023c7a21c2692];{9b61945f155f28530cad145eecb61fea081a2682861a22045f3735b2ff79b224=0.21485876, 670c65a89210c8e9822e6891d4702792b1418f0117648988b627bf36834648e5=0.09449873, fed8c8c846b035e8656de904ef6e88401b2b87db42366a17665c58d8ca361376=0.043999992, c5c653a5039b13e86b9c4b56347cc61b3a7575ae831d9a68d43756522da01eca=0.019445434, be996c1dd86353caf450b3b58b55c00cfaafe745785f6e7d8e3b41ff40a2d4fc=0.019445434};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1073;1;Nothing;0;Data is not displayed;Hard;1;Nothing;[9b7fa07c923887a5f3a660121936196c3cb378bad31dc2f05ea023c7a21c2692];{};0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bug1089;0;IllegalStateException Crash when taping back in new unsaved time;1;App crashes;Easy;4;IllegalStateException Crash when taping back in new unsaved time;[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16, 3047e748afff264a8252315d03acf9e1c40121bcdcdfc86b650757af06028027];{1447eb7509f38d74678713389c9202500210a15cd46620aa1b2be4cfd2c87064=0.03371791, 87373621db304b865fc853b3e98734b1a05faee08f6e2448f6a18a77911aedf9=0.024910515, 0f1ba45b3dce92e962eb635074a4690d918c2c6c6c5c5f92cfe7840c6c5d9f9d=0.0143349515};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1096;0;Going back while recording sound causes endless loading (or crash);1;Undesirable  behavior ;Hard;5;Going back while recording sound causes endless loading (or crash);[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16];{eb6dcdcfd26e944ba2674815f3eeb499601bb3334980eb5c25fbeff8d780b77d=0.12786229, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d=0.11632755, ad09e507f8243b3872aaa7400ab61efe0e0c702eb497abbe6fc0555f91341993=0.11257446, a8bc826db894f171e6cc292731d6f86894a698766481c1e77ef586ce3f1fe349=0.018572709, f797489193cd4697d37868127e40ab5592a7cb05151ba7f9ab566d81454360ad=0.018572709, a0e635f64eb64197f858022c728c5fd8c7e84fbe9a609289b87dce8bd1aa09a4=0.009227025};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1096;1;Record the sound, press done, and endless Loading screen.;0;Undesirable  behavior ;Hard;5;Record the sound, press done, and endless Loading screen.;[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16];{eb6dcdcfd26e944ba2674815f3eeb499601bb3334980eb5c25fbeff8d780b77d=0.15795246, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d=0.14370322, ad09e507f8243b3872aaa7400ab61efe0e0c702eb497abbe6fc0555f91341993=0.1390669, a0e635f64eb64197f858022c728c5fd8c7e84fbe9a609289b87dce8bd1aa09a4=0.011398445, a8bc826db894f171e6cc292731d6f86894a698766481c1e77ef586ce3f1fe349=0.0023746758, f797489193cd4697d37868127e40ab5592a7cb05151ba7f9ab566d81454360ad=0.0023746758};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1096;2;When I try to replicate given the steps above (on a Pixel 3), I just get a crash immediately after tapping the back button in the left side of the header.;0;App crashes;Hard;4;When I try to replicate given the steps above (on a Pixel 3), I just get a crash immediately after tapping the back button in the left side of the header.;[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d];{a8bc826db894f171e6cc292731d6f86894a698766481c1e77ef586ce3f1fe349=0.09670708, f797489193cd4697d37868127e40ab5592a7cb05151ba7f9ab566d81454360ad=0.07827932, af5d05d0f4f2c03a92036026023057bc753339e7a7dd44b6cb2c4ceb8941b213=0.005741712, 71daf9aaaaa3d09d453aeb4233976b5570dfb3b75d2e656d83ec28c853401c47=0.005741712, 1e9771c17ba6492e9aaa399763fd171c9b0b5b07d1ead1e4ee4aca1d2cf38324=0.005023998, f7fde8966e3f85fefb3e14996ffcafde85709f5414b124b54957a450c2bdf568=0.005023998, a4174742f68010386ccbadd96cf6dadfa146baece1617f57957a8a92eb630199=0.005023998, 0af8cff2ae377e41d852ac25ca4d5b50616bdd3dde42791898f2efc4c55a76cd=0.004667312, 5a92a53327581f9e1197283b762673d91494de9ad4d5ae6268446eaaf22015b6=0.0024652504, 0de81c6ee546a153a5384b40f229b2d920375f82815897224de98af91a06ae94=0.0020543754, eb6dcdcfd26e944ba2674815f3eeb499601bb3334980eb5c25fbeff8d780b77d=0.0017431952, 0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16=0.0016435003, 48a10bda36070a6c41596ce3cf4d253f76a3f14faa26d7c189e25b219ccb714e=0.0014526626, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d=0.0014526626, d60963a5de121f19c426bd31a99cc0c9f9903a8786cd9a65de0bf435983126d3=0.0014526626, c57da5c4ae9105266269f36682c4feca9411cc82f5248e83f271dab9b0ddaee1=0.0013588415, 559888e2d0f50bfab32d218caf8082e30b3c7ef19747beef273c434f44c12a47=0.0012326252, 0c2bb0d972066daf9dcfc1c695cf552153d69e72e768ef0e614cd630019397ad=0.0011621302, 59d96e31d45e5b8e743a82139cac68d21e26b6164dbc3875b28f82664d854476=0.0011621302, 680b4e508bc14320e11b407403ce080465bafc9be4b35dd025909214347eb53f=0.0010271877, 10b7eacfc8b8d2b8706a819962091318455f723c4e4e52bfbf1545417a0cb1c1=0.0010271877, ebcec92c5a66bb94081c442e6c1c1f8f5d41a0e2d4dd02eca8e85e8cd3b75e81=8.715976E-4, a0e635f64eb64197f858022c728c5fd8c7e84fbe9a609289b87dce8bd1aa09a4=8.715976E-4, dceb00b1857d918f0e3166df12950d8ec3b10a915c37148dc09837174d8322d1=8.715976E-4, f561fee851c02057612d9d56b6b85f7d5bf647c809aa91361b8baa837a30a476=6.2269944E-4, 48ce90af01e4df221c4cb84e7d51b44f47f740a4121d49cf7a6534d2c054677f=6.2269944E-4, 462cb7277d7e38da41310b0ba1488f8f4c154544532f68147476b1287676088c=6.163126E-4, a0d3eabaf0138953a171fef557cd5955bc9e09a973b8fbdd5e7465d4e2cbf1eb=6.163126E-4, 3fbc208aae021c704a26a93d2889ae06a4ae9ec22172931cbe24556fb55897b6=5.1359384E-4, 7205c108ede700ad95022920e9b375785ac2192721623fa3568c2b570fbb427b=4.1087507E-4, 452a61d39487473a28d73d8fc30cfb226e28abdaed134f6e1fca4a69d13890f5=4.1087507E-4, fc642be7954bb7731eda2fdfcf43dffad477fa5086e7f0e2de02553d82b87086=4.1087507E-4, 464b6227926e528651328beee2acf49254412dc9bcd935147d564c0426d6085c=4.1087507E-4, 95698c1c18b8a82a0a4f939c9f9c522c5a770c60ec1caa0bbf268fd1ad265d32=4.1087507E-4, ec88cea4e003d8b673c9692fe048a305deb7a48d88a98ba5f82e0b0f06a29006=4.1087507E-4};12.0;0.08333333333333333;0.11309523809523808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1096;3;get an endless Loading screen;0;App crashes;Hard;4;get an endless Loading screen;[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d];{};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
Bug1096;4;unable to go back;0;App crashes;Hard;4;unable to go back;[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d];{a8bc826db894f171e6cc292731d6f86894a698766481c1e77ef586ce3f1fe349=0.15679848, f797489193cd4697d37868127e40ab5592a7cb05151ba7f9ab566d81454360ad=0.15679848};0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1
Bug1096;5;have to force close iNat app;0;App crashes;Hard;4;have to force close iNat app;[0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16, 7edb53bf16b3ca252e7dee3ea6bdface12bc76c07499d589a5bc2ec749e0ef6d];{0be480566fd9244e83c1f87ccd788bb5bf716d340f7b52395ed850eed3b91f16=0.11693011, a8bc826db894f171e6cc292731d6f86894a698766481c1e77ef586ce3f1fe349=0.030408964, f797489193cd4697d37868127e40ab5592a7cb05151ba7f9ab566d81454360ad=0.030408964};1.0;1.0;0.5;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
Bug11;0;Bug: App crash when i allow access to my file;1;App crashes;Easy;4;Bug: App crash when i allow access to my file;[2957d1cfee327d06abd84e6b91e1153eb930ce1886a45ed33c8ff4c6536fbcb0, 61730fee40943d7766d05209a78150c6b3cb5f45ca1cfb072a033c4a76ccf37a, 48489898a8d2e4e2d8555f6b0db0b164ec504eca57fb6c45d75248611d13c311];{61730fee40943d7766d05209a78150c6b3cb5f45ca1cfb072a033c4a76ccf37a=0.10216184, 48489898a8d2e4e2d8555f6b0db0b164ec504eca57fb6c45d75248611d13c311=0.025125688};1.0;1.0;0.6666666666666666;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1
